Passenger Id,NewEmbarked,Pclass,AgeBin,New age,Titles,Embarked,FareBin,Fare,Survived,Sex,File,Total_Company
1,S,3,1,22,Mr,S,0,7.25,0,male,train,1
2,C,1,2,38,Ms,C,5,71.2833,1,female,train,1
3,S,3,1,26,Ms,S,1,7.925,1,female,train,0
4,S,1,2,35,Ms,S,5,53.1,1,female,train,1
5,S,3,2,35,Mr,S,1,8.05,0,male,train,0
6,Q,3,1,25,Mr,Q,1,8.4583,0,male,train,0
7,S,1,3,54,Mr,S,4,51.8625,0,male,train,0
8,S,3,0,2,Mr,S,3,21.075,0,male,train,4
9,S,3,1,27,Ms,S,2,11.1333,1,female,train,2
10,C,2,0,14,Ms,C,4,30.0708,1,female,train,1
11,S,3,0,4,Ms,S,3,16.7,1,female,train,2
12,S,1,3,58,Ms,S,4,26.55,1,female,train,0
13,S,3,1,20,Mr,S,1,8.05,0,male,train,0
14,S,3,2,39,Mr,S,4,31.275,0,male,train,6
15,S,3,0,14,Ms,S,1,7.8542,0,female,train,0
16,S,2,3,55,Ms,S,3,16,1,female,train,0
17,Q,3,0,2,Mr,Q,4,29.125,0,male,train,5
18,S,2,1,30,Mr,S,2,13,1,male,train,0
19,S,3,1,31,Ms,S,3,18,0,female,train,1
20,C,3,1,25,Ms,C,0,7.225,1,female,train,0
21,S,2,2,35,Mr,S,3,26,0,male,train,0
22,S,2,2,34,Mr,S,2,13,1,male,train,0
23,Q,3,0,15,Ms,Q,1,8.0292,1,female,train,0
24,S,1,1,28,Mr,S,4,35.5,1,male,train,0
25,S,3,0,8,Ms,S,3,21.075,0,female,train,4
26,S,3,2,38,Ms,S,4,31.3875,1,female,train,6
27,C,3,1,25,Mr,C,0,7.225,0,male,train,0
28,S,1,1,19,Mr,S,5,263,0,male,train,5
29,Q,3,1,25,Ms,Q,1,7.8792,1,female,train,0
30,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
31,C,1,2,40,Honorary,C,4,27.7208,0,male,train,0
32,C,1,2,38,Ms,C,5,146.5208,1,female,train,1
33,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
34,S,2,4,66,Mr,S,2,10.5,0,male,train,0
35,C,1,1,28,Mr,C,5,82.1708,0,male,train,1
36,S,1,2,42,Mr,S,4,52,0,male,train,1
37,C,3,1,25,Mr,C,0,7.2292,1,male,train,0
38,S,3,1,21,Mr,S,1,8.05,0,male,train,0
39,S,3,1,18,Ms,S,3,18,0,female,train,2
40,C,3,0,14,Ms,C,2,11.2417,1,female,train,1
41,S,3,2,40,Ms,S,2,9.475,0,female,train,1
42,S,2,1,27,Ms,S,3,21,0,female,train,1
43,C,3,1,25,Mr,C,1,7.8958,0,male,train,0
44,C,2,0,3,Ms,C,4,41.5792,1,female,train,3
45,Q,3,1,19,Ms,Q,1,7.8792,1,female,train,0
46,S,3,1,25,Mr,S,1,8.05,0,male,train,0
47,Q,3,1,25,Mr,Q,3,15.5,0,male,train,1
48,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
49,C,3,1,25,Mr,C,3,21.6792,0,male,train,2
50,S,3,1,18,Ms,S,3,17.8,0,female,train,1
51,S,3,0,7,Mr,S,4,39.6875,0,male,train,5
52,S,3,1,21,Mr,S,1,7.8,0,male,train,0
53,C,1,3,49,Ms,C,5,76.7292,1,female,train,1
54,S,2,1,29,Ms,S,3,26,1,female,train,1
55,C,1,4,65,Mr,C,5,61.9792,0,male,train,1
56,S,1,2,38,Mr,S,4,35.5,1,male,train,0
57,S,2,1,21,Ms,S,2,10.5,1,female,train,0
58,C,3,1,29,Mr,C,0,7.2292,0,male,train,0
59,S,2,0,5,Ms,S,4,27.75,1,female,train,3
60,S,3,0,11,Mr,S,4,46.9,0,male,train,7
61,C,3,1,22,Mr,C,0,7.2292,0,male,train,0
62,S,1,2,38,Ms,,5,80,1,female,train,0
63,S,1,2,45,Mr,S,5,83.475,0,male,train,1
64,S,3,0,4,Mr,S,4,27.9,0,male,train,5
65,C,1,2,38,Mr,C,4,27.7208,0,male,train,0
66,C,3,1,25,Mr,C,3,15.2458,1,male,train,2
67,S,2,1,29,Ms,S,2,10.5,1,female,train,0
68,S,3,1,19,Mr,S,1,8.1583,0,male,train,0
69,S,3,1,17,Ms,S,1,7.925,1,female,train,6
70,S,3,1,26,Mr,S,2,8.6625,0,male,train,2
71,S,2,1,32,Mr,S,2,10.5,0,male,train,0
72,S,3,0,16,Ms,S,4,46.9,0,female,train,7
73,S,2,1,21,Mr,S,5,73.5,0,male,train,0
74,C,3,1,26,Mr,C,3,14.4542,0,male,train,1
75,S,3,1,32,Mr,S,5,56.4958,1,male,train,0
76,S,3,1,25,Mr,S,0,7.65,0,male,train,0
77,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
78,S,3,1,25,Mr,S,1,8.05,0,male,train,0
79,S,2,0,1,Mr,S,4,29,1,male,train,2
80,S,3,1,30,Ms,S,2,12.475,1,female,train,0
81,S,3,1,22,Mr,S,2,9,0,male,train,0
82,S,3,1,29,Mr,S,2,9.5,1,male,train,0
83,Q,3,1,25,Ms,Q,1,7.7875,1,female,train,0
84,S,1,1,28,Mr,S,4,47.1,0,male,train,0
85,S,2,1,17,Ms,S,2,10.5,1,female,train,0
86,S,3,2,33,Ms,S,3,15.85,1,female,train,3
87,S,3,0,16,Mr,S,4,34.375,0,male,train,4
88,S,3,1,25,Mr,S,1,8.05,0,male,train,0
89,S,1,1,23,Ms,S,5,263,1,female,train,5
90,S,3,1,24,Mr,S,1,8.05,0,male,train,0
91,S,3,1,29,Mr,S,1,8.05,0,male,train,0
92,S,3,1,20,Mr,S,1,7.8542,0,male,train,0
93,S,1,2,46,Mr,S,5,61.175,0,male,train,1
94,S,3,1,26,Mr,S,3,20.575,0,male,train,3
95,S,3,3,59,Mr,S,0,7.25,0,male,train,0
96,S,3,1,25,Mr,S,1,8.05,0,male,train,0
97,C,1,4,71,Mr,C,4,34.6542,0,male,train,0
98,C,1,1,23,Mr,C,5,63.3583,1,male,train,1
99,S,2,2,34,Ms,S,3,23,1,female,train,1
100,S,2,2,34,Mr,S,3,26,0,male,train,1
101,S,3,1,28,Ms,S,1,7.8958,0,female,train,0
102,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
103,S,1,1,21,Mr,S,5,77.2875,0,male,train,1
104,S,3,2,33,Mr,S,1,8.6542,0,male,train,0
105,S,3,2,37,Mr,S,1,7.925,0,male,train,2
106,S,3,1,28,Mr,S,1,7.8958,0,male,train,0
107,S,3,1,21,Ms,S,0,7.65,1,female,train,0
108,S,3,1,25,Mr,S,0,7.775,1,male,train,0
109,S,3,2,38,Mr,S,1,7.8958,0,male,train,0
110,Q,3,1,25,Ms,Q,3,24.15,1,female,train,1
111,S,1,2,47,Mr,S,4,52,0,male,train,0
112,C,3,0,15,Ms,C,3,14.4542,0,female,train,1
113,S,3,1,22,Mr,S,1,8.05,0,male,train,0
114,S,3,1,20,Ms,S,2,9.825,0,female,train,1
115,C,3,1,17,Ms,C,3,14.4583,0,female,train,0
116,S,3,1,21,Mr,S,1,7.925,0,male,train,0
117,Q,3,4,71,Mr,Q,0,7.75,0,male,train,0
118,S,2,1,29,Mr,S,3,21,0,male,train,1
119,C,1,1,24,Mr,C,5,247.5208,0,male,train,1
120,S,3,0,2,Ms,S,4,31.275,0,female,train,6
121,S,2,1,21,Mr,S,5,73.5,0,male,train,2
122,S,3,1,25,Mr,S,1,8.05,0,male,train,0
123,C,2,2,33,Mr,C,4,30.0708,0,male,train,1
124,S,2,2,33,Ms,S,2,13,1,female,train,0
125,S,1,3,54,Mr,S,5,77.2875,0,male,train,1
126,C,3,0,12,Mr,C,2,11.2417,1,male,train,1
127,Q,3,1,25,Mr,Q,0,7.75,0,male,train,0
128,S,3,1,24,Mr,S,0,7.1417,1,male,train,0
129,C,3,1,25,Ms,C,3,22.3583,1,female,train,2
130,S,3,2,45,Mr,S,0,6.975,0,male,train,0
131,C,3,2,33,Mr,C,1,7.8958,0,male,train,0
132,S,3,1,20,Mr,S,0,7.05,0,male,train,0
133,S,3,2,47,Ms,S,3,14.5,0,female,train,1
134,S,2,1,29,Ms,S,3,26,1,female,train,1
135,S,2,1,25,Mr,S,2,13,0,male,train,0
136,C,2,1,23,Mr,C,3,15.0458,0,male,train,0
137,S,1,1,19,Ms,S,4,26.2833,1,female,train,2
138,S,1,2,37,Mr,S,5,53.1,0,male,train,1
139,S,3,0,16,Mr,S,2,9.2167,0,male,train,0
140,C,1,1,24,Mr,C,5,79.2,0,male,train,0
141,C,3,1,25,Ms,C,3,15.2458,0,female,train,2
142,S,3,1,22,Ms,S,0,7.75,1,female,train,0
143,S,3,1,24,Ms,S,3,15.85,1,female,train,1
144,Q,3,1,19,Mr,Q,0,6.75,0,male,train,0
145,S,2,1,18,Mr,S,2,11.5,0,male,train,0
146,S,2,1,19,Mr,S,4,36.75,0,male,train,2
147,S,3,1,27,Mr,S,1,7.7958,1,male,train,0
148,S,3,0,9,Ms,S,4,34.375,0,female,train,4
149,S,2,2,37,Mr,S,3,26,0,male,train,2
150,S,2,2,42,Officer,S,2,13,0,male,train,0
151,S,2,3,51,Officer,S,2,12.525,0,male,train,0
152,S,1,1,22,Ms,S,5,66.6,1,female,train,1
153,S,3,3,56,Mr,S,1,8.05,0,male,train,0
154,S,3,2,41,Mr,S,3,14.5,0,male,train,2
155,S,3,1,25,Mr,S,0,7.3125,0,male,train,0
156,C,1,3,51,Mr,C,5,61.3792,0,male,train,1
157,Q,3,0,16,Ms,Q,0,7.7333,1,female,train,0
158,S,3,1,30,Mr,S,1,8.05,0,male,train,0
159,S,3,1,25,Mr,S,2,8.6625,0,male,train,0
160,S,3,1,25,Mr,S,5,69.55,0,male,train,10
161,S,3,2,44,Mr,S,3,16.1,0,male,train,1
162,S,2,2,40,Ms,S,3,15.75,1,female,train,0
163,S,3,1,26,Mr,S,0,7.775,0,male,train,0
164,S,3,1,17,Mr,S,2,8.6625,0,male,train,0
165,S,3,0,1,Mr,S,4,39.6875,0,male,train,5
166,S,3,0,9,Mr,S,3,20.525,1,male,train,2
167,S,1,2,38,Ms,S,5,55,1,female,train,1
168,S,3,2,45,Ms,S,4,27.9,0,female,train,5
169,S,1,2,38,Mr,S,3,25.925,0,male,train,0
170,S,3,1,28,Mr,S,5,56.4958,0,male,train,0
171,S,1,3,61,Mr,S,4,33.5,0,male,train,0
172,Q,3,0,4,Mr,Q,4,29.125,0,male,train,5
173,S,3,0,1,Ms,S,2,11.1333,1,female,train,2
174,S,3,1,21,Mr,S,1,7.925,0,male,train,0
175,C,1,3,56,Mr,C,4,30.6958,0,male,train,0
176,S,3,1,18,Mr,S,1,7.8542,0,male,train,2
177,S,3,1,25,Mr,S,3,25.4667,0,male,train,4
178,C,1,3,50,Ms,C,4,28.7125,0,female,train,0
179,S,2,1,30,Mr,S,2,13,0,male,train,0
180,S,3,2,36,Mr,S,0,0,0,male,train,0
181,S,3,1,25,Ms,S,5,69.55,0,female,train,10
182,C,2,1,30,Mr,C,3,15.05,0,male,train,0
183,S,3,0,9,Mr,S,4,31.3875,0,male,train,6
184,S,2,0,1,Mr,S,4,39,1,male,train,3
185,S,3,0,4,Ms,S,3,22.025,1,female,train,2
186,S,1,2,38,Mr,S,4,50,0,male,train,0
187,Q,3,1,25,Ms,Q,3,15.5,1,female,train,1
188,S,1,2,45,Mr,S,4,26.55,1,male,train,0
189,Q,3,2,40,Mr,Q,3,15.5,0,male,train,2
190,S,3,2,36,Mr,S,1,7.8958,0,male,train,0
191,S,2,1,32,Ms,S,2,13,1,female,train,0
192,S,2,1,19,Mr,S,2,13,0,male,train,0
193,S,3,1,19,Ms,S,1,7.8542,1,female,train,1
194,S,2,0,3,Mr,S,3,26,1,male,train,2
195,C,1,2,44,Ms,C,4,27.7208,1,female,train,0
196,C,1,3,58,Ms,C,5,146.5208,1,female,train,0
197,Q,3,1,25,Mr,Q,0,7.75,0,male,train,0
198,S,3,2,42,Mr,S,1,8.4042,0,male,train,1
199,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
200,S,2,1,24,Ms,S,2,13,0,female,train,0
201,S,3,1,28,Mr,S,2,9.5,0,male,train,0
202,S,3,1,25,Mr,S,5,69.55,0,male,train,10
203,S,3,2,34,Mr,S,0,6.4958,0,male,train,0
204,C,3,2,46,Mr,C,0,7.225,0,male,train,0
205,S,3,1,18,Mr,S,1,8.05,1,male,train,0
206,S,3,0,2,Ms,S,2,10.4625,0,female,train,1
207,S,3,1,32,Mr,S,3,15.85,0,male,train,1
208,C,3,1,26,Mr,C,3,18.7875,1,male,train,0
209,Q,3,0,16,Ms,Q,0,7.75,1,female,train,0
210,C,1,2,40,Mr,C,4,31,1,male,train,0
211,S,3,1,24,Mr,S,0,7.05,0,male,train,0
212,S,2,2,35,Ms,S,3,21,1,female,train,0
213,S,3,1,22,Mr,S,0,7.25,0,male,train,0
214,S,2,1,30,Mr,S,2,13,0,male,train,0
215,Q,3,1,25,Mr,Q,0,7.75,0,male,train,1
216,C,1,1,31,Ms,C,5,113.275,1,female,train,1
217,S,3,1,27,Ms,S,1,7.925,1,female,train,0
218,S,2,2,42,Mr,S,4,27,0,male,train,1
219,C,1,1,32,Ms,C,5,76.2917,1,female,train,0
220,S,2,1,30,Mr,S,2,10.5,0,male,train,0
221,S,3,0,16,Mr,S,1,8.05,1,male,train,0
222,S,2,1,27,Mr,S,2,13,0,male,train,0
223,S,3,3,51,Mr,S,1,8.05,0,male,train,0
224,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
225,S,1,2,38,Mr,S,5,90,1,male,train,1
226,S,3,1,22,Mr,S,2,9.35,0,male,train,0
227,S,2,1,19,Mr,S,2,10.5,1,male,train,0
228,S,3,1,21,Mr,S,0,7.25,0,male,train,0
229,S,2,1,18,Mr,S,2,13,0,male,train,0
230,S,3,1,25,Ms,S,3,25.4667,0,female,train,4
231,S,1,2,35,Ms,S,5,83.475,1,female,train,1
232,S,3,1,29,Mr,S,0,7.775,0,male,train,0
233,S,2,3,59,Mr,S,2,13.5,0,male,train,0
234,S,3,0,5,Ms,S,4,31.3875,1,female,train,6
235,S,2,1,24,Mr,S,2,10.5,0,male,train,0
236,S,3,1,25,Ms,S,0,7.55,0,female,train,0
237,S,2,2,44,Mr,S,3,26,0,male,train,1
238,S,2,0,8,Ms,S,4,26.25,1,female,train,2
239,S,2,1,19,Mr,S,2,10.5,0,male,train,0
240,S,2,2,33,Mr,S,2,12.275,0,male,train,0
241,C,3,1,25,Ms,C,3,14.4542,0,female,train,1
242,Q,3,1,25,Ms,Q,3,15.5,1,female,train,1
243,S,2,1,29,Mr,S,2,10.5,0,male,train,0
244,S,3,1,22,Mr,S,0,7.125,0,male,train,0
245,C,3,1,30,Mr,C,0,7.225,0,male,train,0
246,Q,1,2,44,Honorary,Q,5,90,0,male,train,2
247,S,3,1,25,Ms,S,0,7.775,0,female,train,0
248,S,2,1,24,Ms,S,3,14.5,1,female,train,2
249,S,1,2,37,Mr,S,5,52.5542,1,male,train,2
250,S,2,3,54,Officer,S,3,26,0,male,train,1
251,S,3,1,25,Mr,S,0,7.25,0,male,train,0
252,S,3,1,29,Ms,S,2,10.4625,0,female,train,2
253,S,1,3,62,Mr,S,4,26.55,0,male,train,0
254,S,3,1,30,Mr,S,3,16.1,0,male,train,1
255,S,3,2,41,Ms,S,3,20.2125,0,female,train,2
256,C,3,1,29,Ms,C,3,15.2458,1,female,train,2
257,C,1,2,38,Ms,C,5,79.2,1,female,train,0
258,S,1,1,30,Ms,S,5,86.5,1,female,train,0
259,C,1,2,35,Ms,C,5,512.3292,1,female,train,0
260,S,2,3,50,Ms,S,3,26,1,female,train,1
261,Q,3,1,25,Mr,Q,0,7.75,0,male,train,0
262,S,3,0,3,Mr,S,4,31.3875,1,male,train,6
263,S,1,3,52,Mr,S,5,79.65,0,male,train,2
264,S,1,2,40,Mr,S,0,0,0,male,train,0
265,Q,3,1,25,Ms,Q,0,7.75,0,female,train,0
266,S,2,2,36,Mr,S,2,10.5,0,male,train,0
267,S,3,0,16,Mr,S,4,39.6875,0,male,train,5
268,S,3,1,25,Mr,S,0,7.775,1,male,train,1
269,S,1,3,58,Ms,S,5,153.4625,1,female,train,1
270,S,1,2,35,Ms,S,5,135.6333,1,female,train,0
271,S,1,2,38,Mr,S,4,31,0,male,train,0
272,S,3,1,25,Mr,S,0,0,1,male,train,0
273,S,2,2,41,Ms,S,3,19.5,1,female,train,1
274,C,1,2,37,Mr,C,4,29.7,0,male,train,1
275,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
276,S,1,3,63,Ms,S,5,77.9583,1,female,train,1
277,S,3,2,45,Ms,S,0,7.75,0,female,train,0
278,S,2,1,30,Mr,S,0,0,0,male,train,0
279,Q,3,0,7,Mr,Q,4,29.125,0,male,train,5
280,S,3,2,35,Ms,S,3,20.25,1,female,train,2
281,Q,3,4,65,Mr,Q,0,7.75,0,male,train,0
282,S,3,1,28,Mr,S,1,7.8542,0,male,train,0
283,S,3,0,16,Mr,S,2,9.5,0,male,train,0
284,S,3,1,19,Mr,S,1,8.05,1,male,train,0
285,S,1,2,38,Mr,S,3,26,0,male,train,0
286,C,3,2,33,Mr,C,2,8.6625,0,male,train,0
287,S,3,1,30,Mr,S,2,9.5,1,male,train,0
288,S,3,1,22,Mr,S,1,7.8958,0,male,train,0
289,S,2,2,42,Mr,S,2,13,1,male,train,0
290,Q,3,1,22,Ms,Q,0,7.75,1,female,train,0
291,S,1,1,26,Ms,S,5,78.85,1,female,train,0
292,C,1,1,19,Ms,C,5,91.0792,1,female,train,1
293,C,2,2,36,Mr,C,2,12.875,0,male,train,0
294,S,3,1,24,Ms,S,2,8.85,0,female,train,0
295,S,3,1,24,Mr,S,1,7.8958,0,male,train,0
296,C,1,2,38,Mr,C,4,27.7208,0,male,train,0
297,C,3,1,24,Mr,C,0,7.2292,0,male,train,0
298,S,1,0,2,Ms,S,5,151.55,0,female,train,3
299,S,1,2,38,Mr,S,4,30.5,1,male,train,0
300,C,1,3,50,Ms,C,5,247.5208,1,female,train,1
301,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
302,Q,3,1,25,Mr,Q,3,23.25,1,male,train,2
303,S,3,1,19,Mr,S,0,0,0,male,train,0
304,Q,2,1,30,Ms,Q,2,12.35,1,female,train,0
305,S,3,1,25,Mr,S,1,8.05,0,male,train,0
306,S,1,0,1,Mr,S,5,151.55,1,male,train,3
307,C,1,2,38,Ms,C,5,110.8833,1,female,train,0
308,C,1,1,17,Ms,C,5,108.9,1,female,train,1
309,C,2,1,30,Mr,C,3,24,0,male,train,1
310,C,1,1,30,Ms,C,5,56.9292,1,female,train,0
311,C,1,1,24,Ms,C,5,83.1583,1,female,train,0
312,C,1,1,18,Ms,C,5,262.375,1,female,train,4
313,S,2,1,26,Ms,S,3,26,0,female,train,2
314,S,3,1,28,Mr,S,1,7.8958,0,male,train,0
315,S,2,2,43,Mr,S,4,26.25,0,male,train,2
316,S,3,1,26,Ms,S,1,7.8542,1,female,train,0
317,S,2,1,24,Ms,S,3,26,1,female,train,1
318,S,2,3,54,Honorary,S,2,14,0,male,train,0
319,S,1,1,31,Ms,S,5,164.8667,1,female,train,2
320,C,1,2,40,Ms,C,5,134.5,1,female,train,2
321,S,3,1,22,Mr,S,0,7.25,0,male,train,0
322,S,3,1,27,Mr,S,1,7.8958,0,male,train,0
323,Q,2,1,30,Ms,Q,2,12.35,1,female,train,0
324,S,2,1,22,Ms,S,4,29,1,female,train,2
325,S,3,1,25,Mr,S,5,69.55,0,male,train,10
326,C,1,2,36,Ms,C,5,135.6333,1,female,train,0
327,S,3,3,61,Mr,S,0,6.2375,0,male,train,0
328,S,2,2,36,Ms,S,2,13,1,female,train,0
329,S,3,1,31,Ms,S,3,20.525,1,female,train,2
330,C,1,0,16,Ms,C,5,57.9792,1,female,train,1
331,Q,3,1,25,Ms,Q,3,23.25,1,female,train,2
332,S,1,2,46,Mr,S,4,28.5,0,male,train,0
333,S,1,2,38,Mr,S,5,153.4625,0,male,train,1
334,S,3,0,16,Mr,S,3,18,0,male,train,2
335,S,1,2,38,Ms,S,5,133.65,1,female,train,1
336,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
337,S,1,1,29,Mr,S,5,66.6,0,male,train,1
338,C,1,2,41,Ms,C,5,134.5,1,female,train,0
339,S,3,2,45,Mr,S,1,8.05,1,male,train,0
340,S,1,2,45,Mr,S,4,35.5,0,male,train,0
341,S,2,0,2,Mr,S,3,26,1,male,train,2
342,S,1,1,24,Ms,S,5,263,1,female,train,5
343,S,2,1,28,Mr,S,2,13,0,male,train,0
344,S,2,1,25,Mr,S,2,13,0,male,train,0
345,S,2,2,36,Mr,S,2,13,0,male,train,0
346,S,2,1,24,Ms,S,2,13,1,female,train,0
347,S,2,2,40,Ms,S,2,13,1,female,train,0
348,S,3,1,25,Ms,S,3,16.1,1,female,train,1
349,S,3,0,3,Mr,S,3,15.9,1,male,train,2
350,S,3,2,42,Mr,S,2,8.6625,0,male,train,0
351,S,3,1,23,Mr,S,2,9.225,0,male,train,0
352,S,1,2,38,Mr,S,4,35,0,male,train,0
353,C,3,0,15,Mr,C,0,7.2292,0,male,train,2
354,S,3,1,25,Mr,S,3,17.8,0,male,train,1
355,C,3,1,25,Mr,C,0,7.225,0,male,train,0
356,S,3,1,28,Mr,S,2,9.5,0,male,train,0
357,S,1,1,22,Ms,S,5,55,1,female,train,1
358,S,2,2,38,Ms,S,2,13,0,female,train,0
359,Q,3,1,25,Ms,Q,1,7.8792,1,female,train,0
360,Q,3,1,25,Ms,Q,1,7.8792,1,female,train,0
361,S,3,2,40,Mr,S,4,27.9,0,male,train,5
362,C,2,1,29,Mr,C,4,27.7208,0,male,train,1
363,C,3,2,45,Ms,C,3,14.4542,0,female,train,1
364,S,3,2,35,Mr,S,0,7.05,0,male,train,0
365,Q,3,1,25,Mr,Q,3,15.5,0,male,train,1
366,S,3,1,30,Mr,S,0,7.25,0,male,train,0
367,C,1,3,60,Ms,C,5,75.25,1,female,train,1
368,C,3,1,25,Ms,C,0,7.2292,1,female,train,0
369,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
370,C,1,1,24,Ms,C,5,69.3,1,female,train,0
371,C,1,1,25,Mr,C,5,55.4417,1,male,train,1
372,S,3,1,18,Mr,S,0,6.4958,0,male,train,1
373,S,3,1,19,Mr,S,1,8.05,0,male,train,0
374,C,1,1,22,Mr,C,5,135.6333,0,male,train,0
375,S,3,0,3,Ms,S,3,21.075,0,female,train,4
376,C,1,2,38,Ms,C,5,82.1708,1,female,train,1
377,S,3,1,22,Ms,S,0,7.25,1,female,train,0
378,C,1,1,27,Mr,C,5,211.5,0,male,train,2
379,C,3,1,20,Mr,C,0,4.0125,0,male,train,0
380,S,3,1,19,Mr,S,0,7.775,0,male,train,0
381,C,1,2,42,Ms,C,5,227.525,1,female,train,0
382,C,3,0,1,Ms,C,3,15.7417,1,female,train,2
383,S,3,1,32,Mr,S,1,7.925,0,male,train,0
384,S,1,2,35,Ms,S,4,52,1,female,train,1
385,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
386,S,2,1,18,Mr,S,5,73.5,0,male,train,0
387,S,3,0,1,Mr,S,4,46.9,0,male,train,7
388,S,2,2,36,Ms,S,2,13,1,female,train,0
389,Q,3,1,25,Mr,Q,0,7.7292,0,male,train,0
390,C,2,1,17,Ms,C,2,12,1,female,train,0
391,S,1,2,36,Mr,S,5,120,1,male,train,3
392,S,3,1,21,Mr,S,1,7.7958,1,male,train,0
393,S,3,1,28,Mr,S,1,7.925,0,male,train,2
394,C,1,1,23,Ms,C,5,113.275,1,female,train,1
395,S,3,1,24,Ms,S,3,16.7,1,female,train,2
396,S,3,1,22,Mr,S,1,7.7958,0,male,train,0
397,S,3,1,31,Ms,S,1,7.8542,0,female,train,0
398,S,2,2,46,Mr,S,3,26,0,male,train,0
399,S,2,1,23,Honorary,S,2,10.5,0,male,train,0
400,S,2,1,28,Ms,S,2,12.65,1,female,train,0
401,S,3,2,39,Mr,S,1,7.925,1,male,train,0
402,S,3,1,26,Mr,S,1,8.05,0,male,train,0
403,S,3,1,21,Ms,S,2,9.825,0,female,train,1
404,S,3,1,28,Mr,S,3,15.85,0,male,train,1
405,S,3,1,20,Ms,S,2,8.6625,0,female,train,0
406,S,2,2,34,Mr,S,3,21,0,male,train,1
407,S,3,3,51,Mr,S,0,7.75,0,male,train,0
408,S,2,0,3,Mr,S,3,18.75,1,male,train,2
409,S,3,1,21,Mr,S,0,7.775,0,male,train,0
410,S,3,1,25,Ms,S,3,25.4667,0,female,train,4
411,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
412,Q,3,1,25,Mr,Q,0,6.8583,0,male,train,0
413,Q,1,2,33,Ms,Q,5,90,1,female,train,1
414,S,2,1,30,Mr,S,0,0,0,male,train,0
415,S,3,2,44,Mr,S,1,7.925,1,male,train,0
416,S,3,1,25,Ms,S,1,8.05,0,female,train,0
417,S,2,2,34,Ms,S,4,32.5,1,female,train,2
418,S,2,1,18,Ms,S,2,13,1,female,train,2
419,S,2,1,30,Mr,S,2,13,0,male,train,0
420,S,3,0,10,Ms,S,3,24.15,0,female,train,2
421,C,3,1,25,Mr,C,1,7.8958,0,male,train,0
422,Q,3,1,21,Mr,Q,0,7.7333,0,male,train,0
423,S,3,1,29,Mr,S,1,7.875,0,male,train,0
424,S,3,1,28,Ms,S,2,14.4,0,female,train,2
425,S,3,1,18,Mr,S,3,20.2125,0,male,train,2
426,S,3,1,25,Mr,S,0,7.25,0,male,train,0
427,S,2,1,28,Ms,S,3,26,1,female,train,1
428,S,2,1,19,Ms,S,3,26,1,female,train,0
429,Q,3,1,25,Mr,Q,0,7.75,0,male,train,0
430,S,3,1,32,Mr,S,1,8.05,1,male,train,0
431,S,1,1,28,Mr,S,4,26.55,1,male,train,0
432,S,3,1,25,Ms,S,3,16.1,1,female,train,1
433,S,2,2,42,Ms,S,3,26,1,female,train,1
434,S,3,1,17,Mr,S,0,7.125,0,male,train,0
435,S,1,3,50,Mr,S,5,55.9,0,male,train,1
436,S,1,0,14,Ms,S,5,120,1,female,train,3
